Rk,Team,Date,SoT,Cmp,Blocks,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Gls,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Cmp,Att,Cmp%,KP,1/3,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Long_Cmp,Att,Cmp%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Match Report
171,Tottenham,2025-11-29,1,37,14,,Fulham,eng Premier League,L 1-2,1,2,-1,62,1,0,0,0,1,14,0.07,1.00,1,7.1,14.8,0,470,579,81.2,9,55,10,5,54,8198,2546,208,231,90.0,221,254,87.0,37,71,52.1,14,7,3,8,3,5,10,50.0,5,14,3,11,13,27,17,1,Match Report
172,Bournemouth,2025-11-29,6,36,7,@,Sunderland,eng Premier League,L 2-3,2,3,-1,58,2,0,0,0,2,18,0.11,0.33,6,33.3,18.2,1,403,510,79.0,13,51,10,3,46,7092,2487,181,204,88.7,180,206,87.4,36,79,45.6,19,10,12,7,0,14,23,60.9,9,7,2,5,9,28,22,2,Match Report
173,Leeds United,2025-11-29,2,30,13,@,Manchester City,eng Premier League,L 2-3,2,3,-1,39,2,0,1,1,2,8,0.25,1.00,2,25.0,14.5,0,276,380,72.6,3,14,4,1,14,4809,1911,119,137,86.9,104,131,79.4,30,67,44.8,26,14,13,10,3,13,20,65.0,7,13,6,7,8,34,21,0,Match Report
174,Sunderland,2025-11-29,5,27,9,,Bournemouth,eng Premier League,W 3-2,3,2,+1,42,2,1,1,0,3,11,0.18,0.40,5,45.5,17.4,0,260,375,69.3,10,30,12,2,35,4710,1959,109,132,82.6,117,150,78.0,27,68,39.7,14,8,8,3,3,6,9,66.7,3,9,4,5,8,22,28,3,Match Report
175,Burnley,2025-11-29,1,26,9,@,Brentford,eng Premier League,L 1-3,1,3,-2,48,0,1,1,0,1,5,0.00,0.00,1,20.0,24.2,0,280,423,66.2,2,13,5,1,18,4896,1851,148,176,84.1,104,136,76.5,26,90,28.9,26,18,13,9,4,10,17,58.8,7,9,1,8,7,33,36,0,Match Report
176,Newcastle Utd,2025-11-29,7,35,9,@,Everton,eng Premier League,W 4-1,4,1,+3,51,4,0,0,0,4,13,0.31,0.57,7,53.8,13.9,0,511,593,86.2,11,30,10,3,40,7964,2892,258,280,92.1,187,213,87.8,35,54,64.8,16,16,7,8,1,8,12,66.7,4,9,2,7,3,19,32,0,Match Report
177,Manchester City,2025-11-29,9,44,10,,Leeds United,eng Premier League,W 3-2,3,2,+1,61,3,0,0,0,3,18,0.17,0.33,9,50.0,14.1,1,516,601,85.9,13,45,15,4,48,8498,2532,250,268,93.3,211,240,87.9,44,67,65.7,6,2,2,1,3,3,7,42.9,4,10,3,7,2,8,28,1,Match Report
178,Brentford,2025-11-29,3,26,14,,Burnley,eng Premier League,W 3-1,3,1,+2,52,2,1,1,0,3,13,0.15,0.67,3,23.1,12.4,0,347,462,75.1,10,37,7,2,37,5651,2346,155,181,85.6,147,184,79.9,26,59,44.1,9,8,2,3,4,6,8,75.0,2,14,3,11,11,20,53,0,Match Report
179,Everton,2025-11-29,2,60,14,,Newcastle Utd,eng Premier League,L 1-4,1,4,-3,49,1,0,0,0,1,10,0.10,0.50,2,20.0,14.6,0,478,563,84.9,7,57,15,4,60,9414,2817,162,182,89.0,255,271,94.1,60,92,65.2,19,12,7,7,5,10,15,66.7,5,14,5,9,9,28,19,2,Match Report
180,Fulham,2025-11-29,3,28,13,@,Tottenham,eng Premier League,W 2-1,2,1,+1,38,2,0,0,0,2,7,0.29,0.67,3,42.9,19.4,0,258,356,72.5,4,16,3,0,21,4516,1830,115,130,88.5,105,128,82.0,28,66,42.4,29,16,12,14,3,12,19,63.2,7,13,7,6,9,38,49,1,Match Report
181,Manchester Utd,2025-11-24,6,26,7,,Everton,eng Premier League,L 0-1,0,1,-1,69,0,0,0,0,0,25,0.00,0.00,6,24.0,17.3,0,587,696,84.3,20,54,16,4,75,9332,2701,298,318,93.7,252,287,87.8,26,52,50.0,14,7,5,3,6,5,9,55.6,4,7,1,6,8,22,21,0,Match Report
182,Everton,2025-11-24,1,29,19,@,Manchester Utd,eng Premier League,W 1-0,1,0,+1,31,1,0,0,0,1,3,0.33,1.00,1,33.3,16.5,0,198,311,63.7,3,16,2,0,12,3851,1853,100,118,84.7,65,102,63.7,29,70,41.4,6,3,5,1,0,4,8,50.0,4,19,6,13,11,17,47,2,Match Report
183,Arsenal,2025-11-23,8,32,9,,Tottenham,eng Premier League,W 4-1,4,1,+3,57,4,0,0,0,4,17,0.24,0.50,8,47.1,16.7,2,382,486,78.6,11,35,9,1,39,6622,2434,180,207,87.0,162,197,82.2,32,57,56.1,23,16,4,12,7,8,12,66.7,4,9,0,9,11,34,17,1,Match Report
184,Tottenham,2025-11-23,2,26,14,@,Arsenal,eng Premier League,L 1-4,1,4,-3,43,1,0,0,0,1,3,0.33,0.50,2,66.7,31.8,0,274,368,74.5,3,10,1,0,14,5181,2066,99,114,86.8,141,165,85.5,26,68,38.2,21,12,14,7,0,12,17,70.6,5,14,2,12,8,29,34,1,Match Report
185,Leeds United,2025-11-23,4,26,11,,Aston Villa,eng Premier League,L 1-2,1,2,-1,48,1,0,0,0,1,14,0.07,0.25,4,28.6,13.8,0,348,442,78.7,12,47,7,1,44,5810,2333,175,196,89.3,144,166,86.7,26,59,44.1,26,16,10,10,6,12,24,50.0,12,11,3,8,12,38,22,0,Match Report
186,Aston Villa,2025-11-23,3,30,12,@,Leeds United,eng Premier League,W 2-1,2,1,+1,52,2,0,0,0,2,14,0.14,0.67,3,21.4,18.3,2,382,482,79.3,12,22,8,2,34,6806,2530,167,193,86.5,183,207,88.4,30,65,46.2,20,8,12,7,1,13,22,59.1,9,12,5,7,7,27,22,0,Match Report
187,Crystal Palace,2025-11-22,4,36,13,@,Wolves,eng Premier League,W 2-0,2,0,+2,52,2,0,0,0,2,10,0.20,0.50,4,40.0,17.0,0,379,483,78.5,9,31,7,0,47,6887,2699,160,179,89.4,176,210,83.8,36,71,50.7,19,11,9,6,4,6,13,46.2,7,13,2,11,10,29,31,1,Match Report
188,Bournemouth,2025-11-22,9,29,4,,West Ham,eng Premier League,D 2-2,2,2,0,76,1,1,1,0,2,27,0.04,0.11,9,33.3,16.9,0,573,703,81.5,18,68,23,11,76,8933,2669,291,330,88.2,234,265,88.3,29,68,42.6,19,10,3,7,9,5,13,38.5,8,4,1,3,7,26,11,0,Match Report
189,West Ham,2025-11-22,2,23,12,@,Bournemouth,eng Premier League,D 2-2,2,2,0,24,2,0,0,0,2,5,0.40,1.00,2,40.0,14.0,0,120,223,53.8,4,10,3,1,8,2289,1429,61,87,70.1,26,44,59.1,23,75,30.7,13,10,12,1,0,7,16,43.8,9,12,7,5,9,22,59,1,Match Report
190,Liverpool,2025-11-22,3,49,14,,Nott'ham Forest,eng Premier League,L 0-3,0,3,-3,74,0,0,0,0,0,21,0.00,0.00,3,14.3,15.9,0,601,702,85.6,18,74,17,6,90,10553,3296,251,274,91.6,289,322,89.8,49,77,63.6,15,10,4,6,5,11,18,61.1,7,14,5,9,4,19,17,1,Match Report
191,Wolves,2025-11-22,1,40,11,,Crystal Palace,eng Premier League,L 0-2,0,2,-2,48,0,0,0,0,0,8,0.00,0.00,1,12.5,17.4,1,350,447,78.3,5,27,7,1,24,6478,2400,151,172,87.8,152,178,85.4,40,72,55.6,21,10,9,10,2,10,17,58.8,7,11,2,9,8,29,44,2,Match Report
192,Sunderland,2025-11-22,2,23,12,@,Fulham,eng Premier League,L 0-1,0,1,-1,43,0,0,0,0,0,4,0.00,0.00,2,50.0,11.7,0,314,411,76.4,4,26,4,0,32,5466,2174,148,166,89.2,134,158,84.8,23,55,41.8,21,9,14,6,1,12,14,85.7,2,12,6,6,9,30,28,1,Match Report
193,Burnley,2025-11-22,2,20,9,,Chelsea,eng Premier League,L 0-2,0,2,-2,45,0,0,0,0,0,8,0.00,0.00,2,25.0,17.8,0,350,447,78.3,8,23,4,1,22,5379,2168,182,202,90.1,122,148,82.4,20,58,34.5,16,7,8,7,1,7,16,43.8,9,9,5,4,12,28,24,2,Match Report
194,Newcastle Utd,2025-11-22,5,35,10,,Manchester City,eng Premier League,W 2-1,2,1,+1,33,2,0,0,0,2,9,0.22,0.40,5,55.6,10.7,0,238,317,75.1,7,19,5,3,27,4638,1908,105,116,90.5,95,116,81.9,35,70,50.0,17,11,7,8,2,12,21,57.1,9,10,4,6,7,24,37,2,Match Report
195,Manchester City,2025-11-22,4,30,7,@,Newcastle Utd,eng Premier League,L 1-2,1,2,-1,67,1,0,0,0,1,17,0.06,0.25,4,23.5,16.2,0,551,634,86.9,13,59,16,4,49,8793,2639,287,310,92.6,224,245,91.4,30,58,51.7,13,9,6,2,5,5,9,55.6,4,7,1,6,10,23,17,2,Match Report
196,Brentford,2025-11-22,2,26,12,@,Brighton,eng Premier League,L 1-2,1,2,-1,36,0,1,2,1,1,8,0.00,0.00,2,25.0,21.0,0,249,344,72.4,5,16,6,1,21,4654,2047,94,121,77.7,121,149,81.2,26,60,43.3,20,8,9,7,4,10,20,50.0,10,12,1,11,13,33,30,0,Match Report
197,Chelsea,2025-11-22,5,23,12,@,Burnley,eng Premier League,W 2-0,2,0,+2,55,2,0,0,0,2,15,0.13,0.40,5,33.3,16.8,0,453,555,81.6,11,16,8,0,25,7566,2515,224,247,90.7,204,233,87.6,23,62,37.1,15,9,5,8,2,6,7,85.7,1,12,3,9,12,27,19,0,Match Report
198,Brighton,2025-11-22,5,37,3,,Brentford,eng Premier League,W 2-1,2,1,+1,64,2,0,0,0,2,14,0.14,0.40,5,35.7,18.3,1,496,611,81.2,9,35,6,1,40,8480,2693,239,266,89.8,211,247,85.4,37,65,56.9,23,10,10,7,6,12,21,57.1,9,3,1,2,8,31,20,0,Match Report
199,Nott'ham Forest,2025-11-22,7,28,14,@,Liverpool,eng Premier League,W 3-0,3,0,+3,26,3,0,0,0,3,15,0.20,0.43,7,46.7,19.3,3,170,251,67.7,7,17,7,0,19,3509,1633,73,79,92.4,67,86,77.9,28,69,40.6,27,17,18,6,3,18,32,56.3,14,14,10,4,7,34,49,1,Match Report
200,Fulham,2025-11-22,5,47,9,,Sunderland,eng Premier League,W 1-0,1,0,+1,57,1,0,0,0,1,24,0.04,0.20,5,20.8,17.5,0,445,537,82.9,19,29,14,6,46,8235,2562,172,189,91.0,221,242,91.3,47,82,57.3,11,7,4,6,1,3,6,50.0,3,9,1,8,6,17,32,0,Match Report
201,Crystal Palace,2025-11-09,2,29,8,,Brighton,eng Premier League,D 0-0,0,0,0,43,0,0,0,0,0,10,0.00,0.00,2,20.0,13.8,0,299,412,72.6,8,18,9,3,27,5432,2085,132,157,84.1,137,162,84.6,29,69,42.0,21,14,8,12,1,8,12,66.7,4,8,3,5,14,35,30,0,Match Report
202,Bournemouth,2025-11-09,2,27,12,@,Aston Villa,eng Premier League,L 0-4,0,4,-4,49,0,0,1,1,0,11,0.00,0.00,2,18.2,20.4,1,277,365,75.9,7,27,4,0,18,4653,1765,138,163,84.7,102,117,87.2,27,55,49.1,16,9,8,4,4,6,13,46.2,7,12,4,8,11,27,34,1,Match Report
203,Leeds United,2025-11-09,3,40,11,@,Nott'ham Forest,eng Premier League,L 1-3,1,3,-2,54,1,0,0,0,1,10,0.10,0.33,3,30.0,17.4,0,371,471,78.8,5,26,3,1,31,7125,2172,118,136,86.8,204,225,90.7,40,84,47.6,15,10,8,4,3,10,17,58.8,7,11,5,6,9,24,31,0,Match Report
204,Liverpool,2025-11-09,1,29,19,@,Manchester City,eng Premier League,L 0-3,0,3,-3,51,0,0,0,0,0,7,0.00,0.00,1,14.3,16.0,0,426,513,83.0,6,44,8,0,37,7474,2237,185,209,88.5,210,225,93.3,29,57,50.9,8,7,4,2,2,4,13,30.8,9,19,5,14,9,17,13,0,Match Report
205,Aston Villa,2025-11-09,8,36,15,,Bournemouth,eng Premier League,W 4-0,4,0,+4,51,4,0,0,0,4,16,0.25,0.50,8,50.0,16.4,1,289,382,75.7,11,21,8,2,28,5291,1980,127,143,88.8,119,147,81.0,36,70,51.4,20,12,6,12,2,14,27,51.9,13,15,4,11,6,26,26,0,Match Report
206,Newcastle Utd,2025-11-09,1,38,15,@,Brentford,eng Premier League,L 1-3,1,3,-2,50,1,0,0,0,1,5,0.20,1.00,1,20.0,20.5,0,383,476,80.5,4,30,8,2,44,6999,2696,174,193,90.2,169,200,84.5,38,72,52.8,10,7,6,3,1,5,11,45.5,6,15,4,11,5,15,54,1,Match Report
207,Manchester City,2025-11-09,5,25,9,,Liverpool,eng Premier League,W 3-0,3,0,+3,49,3,0,1,1,3,13,0.23,0.60,5,38.5,20.7,1,402,487,82.5,11,21,7,0,29,6151,1963,204,231,88.3,146,166,88.0,25,45,55.6,17,12,10,5,2,8,12,66.7,4,9,4,5,9,26,27,2,Match Report
208,Brentford,2025-11-09,6,40,7,,Newcastle Utd,eng Premier League,W 3-1,3,1,+2,50,2,1,1,0,3,14,0.14,0.33,6,42.9,15.7,0,344,469,73.3,9,28,9,2,32,6213,2306,160,195,82.1,139,173,80.3,40,82,48.8,17,12,10,6,1,4,11,36.4,7,7,1,6,10,27,15,0,Match Report
209,Brighton,2025-11-09,3,35,11,@,Crystal Palace,eng Premier League,D 0-0,0,0,0,57,0,0,0,0,0,7,0.00,0.00,3,42.9,17.8,0,439,549,80.0,6,34,9,3,34,7441,2313,223,252,88.5,177,213,83.1,35,66,53.0,16,11,4,9,3,6,11,54.5,5,11,1,10,4,20,23,1,Match Report
210,Nott'ham Forest,2025-11-09,5,31,13,,Leeds United,eng Premier League,W 3-1,3,1,+2,46,2,1,1,0,3,13,0.15,0.40,5,38.5,16.8,0,299,400,74.8,9,41,7,3,45,5731,2382,119,143,83.2,146,171,85.4,31,72,43.1,27,17,19,6,2,18,23,78.3,5,13,2,11,6,33,29,0,Match Report
211,Arsenal,2025-11-08,7,30,5,@,Sunderland,eng Premier League,D 2-2,2,2,0,64,2,0,0,0,2,17,0.12,0.29,7,41.2,18.1,1,484,574,84.3,9,47,15,3,48,8095,2047,220,244,90.2,228,253,90.1,30,59,50.8,12,4,5,6,1,5,7,71.4,2,5,2,3,3,15,26,0,Match Report
212,Manchester Utd,2025-11-08,2,36,8,@,Tottenham,eng Premier League,D 2-2,2,2,0,46,2,0,0,0,2,5,0.40,1.00,2,40.0,10.5,0,329,437,75.3,5,22,4,0,28,5730,2380,155,180,86.1,124,151,82.1,36,64,56.3,21,8,9,10,2,10,22,45.5,12,8,2,6,6,27,27,1,Match Report
213,Tottenham,2025-11-08,4,30,20,,Manchester Utd,eng Premier League,D 2-2,2,2,0,54,2,0,0,0,2,10,0.20,0.50,4,40.0,16.4,0,411,517,79.5,6,35,7,4,43,7005,2285,182,201,90.5,188,213,88.3,30,72,41.7,26,15,9,13,4,10,13,76.9,3,20,1,19,7,33,18,0,Match Report
214,West Ham,2025-11-08,6,38,17,,Burnley,eng Premier League,W 3-2,3,2,+1,43,3,0,0,0,3,15,0.20,0.50,6,40.0,16.9,1,327,414,79.0,9,26,5,1,29,6312,2262,136,145,93.8,151,178,84.8,38,74,51.4,14,10,5,8,1,7,10,70.0,3,17,7,10,13,27,29,1,Match Report
215,Wolves,2025-11-08,0,34,11,@,Chelsea,eng Premier League,L 0-3,0,3,-3,37,0,0,0,0,0,3,0.00,,0,0.0,22.8,0,304,379,80.2,2,23,1,0,23,5931,2350,129,146,88.4,140,160,87.5,34,65,52.3,10,3,4,4,2,7,16,43.8,9,11,5,6,12,22,32,3,Match Report
216,Sunderland,2025-11-08,2,22,9,,Arsenal,eng Premier League,D 2-2,2,2,0,36,2,0,0,0,2,6,0.33,1.00,2,33.3,13.0,0,235,320,73.4,5,16,9,0,12,4181,1526,102,113,90.3,103,132,78.0,22,55,40.0,16,8,10,6,0,9,17,52.9,8,9,4,5,6,22,42,2,Match Report
217,Burnley,2025-11-08,7,30,19,@,West Ham,eng Premier League,L 2-3,2,3,-1,57,2,0,0,0,2,16,0.13,0.29,7,43.8,18.4,2,457,552,82.8,9,38,8,3,35,7500,2458,226,242,93.4,189,210,90.0,30,67,44.8,16,11,5,9,2,12,18,66.7,6,19,8,11,7,23,30,1,Match Report
218,Chelsea,2025-11-08,8,39,3,,Wolves,eng Premier League,W 3-0,3,0,+3,63,3,0,0,0,3,20,0.15,0.38,8,40.0,16.0,1,560,654,85.6,14,49,16,2,53,9779,2674,246,266,92.5,269,303,88.8,39,65,60.0,9,8,3,2,4,3,7,42.9,4,3,0,3,7,16,17,1,Match Report
219,Everton,2025-11-08,5,29,14,,Fulham,eng Premier League,W 2-0,2,0,+2,51,2,0,0,0,2,14,0.14,0.40,5,35.7,17.3,3,364,457,79.6,10,31,8,3,38,6096,2256,160,176,90.9,157,180,87.2,29,60,48.3,15,10,6,6,3,10,19,52.6,9,14,2,12,4,19,24,0,Match Report
220,Fulham,2025-11-08,4,39,11,@,Everton,eng Premier League,L 0-2,0,2,-2,49,0,0,0,0,0,8,0.00,0.00,4,50.0,19.7,1,358,447,80.1,6,23,9,1,31,6577,2089,141,160,88.1,170,195,87.2,39,64,60.9,17,12,9,6,2,13,19,68.4,6,11,4,7,13,30,36,0,Match Report
221,Sunderland,2025-11-03,3,49,10,,Everton,eng Premier League,D 1-1,1,1,0,60,1,0,0,0,1,17,0.06,0.33,3,17.6,15.7,0,468,573,81.7,13,48,11,4,55,8701,2739,182,202,90.1,228,257,88.7,49,91,53.8,14,10,8,4,2,8,14,57.1,6,10,3,7,5,19,21,0,Match Report
222,Everton,2025-11-03,2,24,13,@,Sunderland,eng Premier League,D 1-1,1,1,0,40,1,0,0,0,1,8,0.13,0.50,2,25.0,18.8,0,283,380,74.5,4,21,4,0,27,4932,1753,128,146,87.7,128,155,82.6,24,66,36.4,14,6,9,5,0,11,18,61.1,7,13,7,6,8,22,45,0,Match Report
223,Bournemouth,2025-11-02,5,42,15,@,Manchester City,eng Premier League,L 1-3,1,3,-2,51,1,0,0,0,1,8,0.13,0.20,5,62.5,26.4,0,473,557,84.9,5,34,3,1,36,8297,2420,219,245,89.4,207,228,90.8,42,70,60.0,23,10,13,5,5,14,27,51.9,13,15,4,11,5,28,27,0,Match Report
224,West Ham,2025-11-02,9,36,9,,Newcastle Utd,eng Premier League,W 3-1,3,1,+2,38,2,0,0,0,2,15,0.13,0.22,9,60.0,17.1,1,269,367,73.3,10,19,6,2,28,4787,1640,134,146,91.8,95,115,82.6,36,85,42.4,21,13,10,10,1,8,15,53.3,7,9,2,7,7,28,41,0,Match Report
225,Newcastle Utd,2025-11-02,4,40,5,@,West Ham,eng Premier League,L 1-3,1,3,-2,62,1,0,0,0,1,12,0.08,0.25,4,33.3,20.7,0,500,605,82.6,8,64,9,0,74,9151,3176,201,222,90.5,258,291,88.7,40,75,53.3,8,5,2,4,2,3,10,30.0,7,5,3,2,9,17,18,2,Match Report
226,Manchester City,2025-11-02,7,25,6,,Bournemouth,eng Premier League,W 3-1,3,1,+2,49,3,0,0,0,3,15,0.20,0.43,7,46.7,14.6,1,449,532,84.4,13,32,6,0,28,6528,2399,269,294,91.5,133,157,84.7,25,44,56.8,10,7,5,5,0,5,9,55.6,4,6,1,5,9,19,22,1,Match Report
227,Arsenal,2025-11-01,7,23,13,@,Burnley,eng Premier League,W 2-0,2,0,+2,54,2,0,0,0,2,12,0.17,0.29,7,58.3,14.8,0,448,534,83.9,10,25,5,0,36,7073,2121,225,243,92.6,183,209,87.6,23,57,40.4,16,7,9,6,1,8,14,57.1,6,13,0,13,6,22,31,0,Match Report
228,Manchester Utd,2025-11-01,6,55,9,@,Nott'ham Forest,eng Premier League,D 2-2,2,2,0,58,2,0,0,0,2,18,0.11,0.33,6,33.3,20.3,0,457,554,82.5,15,38,7,3,39,8852,3301,165,185,89.2,233,265,87.9,55,91,60.4,12,10,3,6,3,6,11,54.5,5,9,6,3,10,22,21,1,Match Report
229,Tottenham,2025-11-01,1,22,11,,Chelsea,eng Premier League,L 0-1,0,1,-1,48,0,0,0,0,0,3,0.00,0.00,1,33.3,18.4,0,319,434,73.5,3,16,3,0,28,5654,2080,127,148,85.8,165,201,82.1,22,63,34.9,30,19,13,16,1,19,27,70.4,8,11,1,10,4,34,21,3,Match Report
230,Crystal Palace,2025-11-01,3,24,8,,Brentford,eng Premier League,W 2-0,2,0,+2,37,1,0,0,0,1,10,0.10,0.33,3,30.0,19.4,1,201,312,64.4,4,15,5,1,27,3629,1581,93,112,83.0,80,106,75.5,24,77,31.2,13,7,7,3,3,7,13,53.8,6,8,2,6,12,25,31,0,Match Report
231,Leeds United,2025-11-01,2,35,5,@,Brighton,eng Premier League,L 0-3,0,3,-3,50,0,0,0,0,0,5,0.00,0.00,2,40.0,18.3,1,448,529,84.7,4,22,2,0,24,7488,2387,217,235,92.3,183,201,91.0,35,67,52.2,12,8,7,3,2,3,12,25.0,9,5,2,3,6,18,19,2,Match Report
232,Liverpool,2025-11-01,4,27,7,,Aston Villa,eng Premier League,W 2-0,2,0,+2,54,2,0,0,0,2,16,0.13,0.50,4,25.0,20.8,1,431,508,84.8,12,43,8,0,51,7119,2710,224,244,91.8,173,188,92.0,27,54,50.0,12,8,6,6,0,4,10,40.0,6,7,1,6,6,18,29,1,Match Report
233,Aston Villa,2025-11-01,3,29,11,@,Liverpool,eng Premier League,L 0-2,0,2,-2,46,0,0,0,0,0,10,0.00,0.00,3,30.0,22.5,0,352,433,81.3,10,27,10,1,39,6496,2319,144,155,92.9,175,197,88.8,29,64,45.3,11,7,5,5,1,5,14,35.7,9,11,5,6,6,17,28,3,Match Report
234,Wolves,2025-11-01,2,41,18,@,Fulham,eng Premier League,L 0-3,0,3,-3,36,0,0,0,0,0,5,0.00,0.00,2,40.0,16.7,1,258,349,73.9,3,24,5,2,25,5508,2208,78,96,81.3,137,166,82.5,41,79,51.9,17,12,10,4,3,8,15,53.3,7,18,8,10,10,27,31,0,Match Report
235,Burnley,2025-11-01,0,34,7,,Arsenal,eng Premier League,L 0-2,0,2,-2,46,0,0,0,0,0,3,0.00,,0,0.0,16.1,1,365,462,79.0,1,38,4,0,29,6494,2224,171,187,91.4,147,172,85.5,34,67,50.7,14,9,5,6,3,6,11,54.5,5,7,2,5,7,21,27,2,Match Report
236,Brentford,2025-11-01,2,42,7,@,Crystal Palace,eng Premier League,L 0-2,0,2,-2,63,0,0,0,0,0,6,0.00,0.00,2,33.3,19.9,1,417,540,77.2,3,24,7,0,28,7582,2508,177,202,87.6,188,213,88.3,42,97,43.3,16,11,7,8,1,7,9,77.8,2,7,4,3,4,20,39,1,Match Report
237,Chelsea,2025-11-01,9,36,10,@,Tottenham,eng Premier League,W 1-0,1,0,+1,52,1,0,0,0,1,15,0.07,0.11,9,60.0,15.0,0,372,467,79.7,14,31,9,2,43,6634,2625,171,196,87.2,152,171,88.9,36,70,51.4,20,12,7,9,4,9,18,50.0,9,10,1,9,17,37,19,1,Match Report
238,Brighton,2025-11-01,7,36,6,,Leeds United,eng Premier League,W 3-0,3,0,+3,50,3,0,0,0,3,14,0.21,0.43,7,50.0,18.0,0,458,530,86.4,9,32,3,0,28,8148,2561,205,224,91.5,216,230,93.9,36,64,56.3,24,15,10,9,5,13,24,54.2,11,6,1,5,3,27,15,0,Match Report
239,Nott'ham Forest,2025-11-01,3,28,11,,Manchester Utd,eng Premier League,D 2-2,2,2,0,42,2,0,0,0,2,17,0.12,0.67,3,17.6,14.9,0,280,396,70.7,12,25,11,3,36,5136,2082,135,163,82.8,113,137,82.5,28,82,34.1,17,10,7,4,6,11,19,57.9,8,11,6,5,11,28,16,0,Match Report
240,Fulham,2025-11-01,6,43,5,,Wolves,eng Premier League,W 3-0,3,0,+3,64,2,0,0,0,2,19,0.11,0.33,6,31.6,18.7,0,518,614,84.4,16,38,7,1,48,8945,3026,235,254,92.5,232,263,88.2,43,71,60.6,6,2,3,3,0,3,5,60.0,2,5,1,4,4,10,24,0,Match Report
241,Arsenal,2025-10-26,3,29,13,,Crystal Palace,eng Premier League,W 1-0,1,0,+1,59,1,0,0,0,1,10,0.10,0.33,3,30.0,15.0,0,463,572,80.9,7,43,5,0,39,8672,2600,168,187,89.8,264,295,89.5,29,73,39.7,12,7,4,5,3,2,6,33.3,4,13,3,10,6,18,29,1,Match Report
242,Tottenham,2025-10-26,4,29,13,@,Everton,eng Premier League,W 3-0,3,0,+3,47,3,0,0,0,3,7,0.43,0.75,4,57.1,11.3,1,347,432,80.3,4,14,4,1,24,6089,1993,160,174,92.0,154,173,89.0,29,68,42.6,20,11,13,7,0,12,20,60.0,8,13,5,8,6,26,53,1,Match Report
243,Crystal Palace,2025-10-26,1,26,9,@,Arsenal,eng Premier League,L 0-1,0,1,-1,41,0,0,0,0,0,7,0.00,0.00,1,14.3,17.6,0,287,393,73.0,4,20,2,1,28,5252,2033,110,130,84.6,147,173,85.0,26,71,36.6,16,9,10,6,0,6,11,54.5,5,9,3,6,12,28,44,0,Match Report
244,Bournemouth,2025-10-26,5,24,11,,Nott'ham Forest,eng Premier League,W 2-0,2,0,+2,52,2,0,0,0,2,13,0.15,0.40,5,38.5,22.1,0,381,487,78.2,8,28,11,2,40,6212,2169,176,201,87.6,161,183,88.0,24,60,40.0,9,7,5,3,1,6,8,75.0,2,11,2,9,12,21,18,0,Match Report
245,Aston Villa,2025-10-26,3,39,15,,Manchester City,eng Premier League,W 1-0,1,0,+1,47,1,0,0,0,1,9,0.11,0.33,3,33.3,13.6,0,407,482,84.4,6,21,5,1,25,7371,2612,180,191,94.2,182,201,90.5,39,79,49.4,18,11,10,6,2,11,17,64.7,6,15,10,5,7,25,21,0,Match Report
246,Wolves,2025-10-26,6,47,11,,Burnley,eng Premier League,L 2-3,2,3,-1,57,1,1,1,0,2,14,0.07,0.17,6,42.9,17.6,1,445,561,79.3,9,48,14,10,45,7999,2496,196,223,87.9,193,223,86.5,47,83,56.6,14,6,5,7,2,6,9,66.7,3,11,3,8,9,23,26,1,Match Report
247,Burnley,2025-10-26,7,33,11,@,Wolves,eng Premier League,W 3-2,3,2,+1,43,3,0,0,0,3,11,0.27,0.43,7,63.6,19.2,0,326,429,76.0,7,22,8,1,20,5742,2096,148,173,85.5,132,150,88.0,33,72,45.8,19,8,9,6,4,8,15,53.3,7,11,2,9,5,24,48,1,Match Report
248,Manchester City,2025-10-26,3,21,9,@,Aston Villa,eng Premier League,L 0-1,0,1,-1,53,0,0,0,0,0,18,0.00,0.00,3,16.7,15.6,0,478,545,87.7,14,44,12,2,51,7588,2262,242,258,93.8,210,229,91.7,21,35,60.0,14,8,2,8,4,7,13,53.8,6,9,5,4,11,25,19,0,Match Report
249,Everton,2025-10-26,2,24,6,,Tottenham,eng Premier League,L 0-3,0,3,-3,53,0,0,0,0,0,12,0.00,0.00,2,16.7,16.2,0,391,497,78.7,9,32,7,2,41,6919,2163,161,185,87.0,204,233,87.6,24,62,38.7,19,10,11,3,5,8,16,50.0,8,6,1,5,6,25,26,2,Match Report
