Rk,Team,Date,SoT,GF,Poss,Cmp,Succ,Blocks,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Gls,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Cmp,Att,Cmp%,KP,1/3,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Long_Cmp,Att,Cmp%,Att,Succ,Succ%,Tkld,Tkld%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Match Report
50,West Ham,2025-08-16,3,0,63,37,7,10,@,Sunderland,eng Premier League,L 0-3,0,3,-3,63,0,0,0,0,0,12,0.00,0.00,3,25.0,18.4,0,496,600,82.7,7,47,12,4,50,8462,2756,237,257,92.2,213,237,89.9,37,76,48.7,18,7,38.9,8,44.4,12,7,5,6,1,6,7,85.7,1,10,1,9,4,16,19,0,Match Report
51,Aston Villa,2025-08-16,3,0,41,29,9,13,,Newcastle Utd,eng Premier League,D 0-0,0,0,0,41,0,0,0,0,0,3,0.00,0.00,3,100.0,14.6,0,243,345,70.4,3,19,5,2,35,4562,1832,97,115,84.3,112,138,81.2,29,76,38.2,18,9,50.0,6,33.3,11,5,7,4,0,8,10,80.0,2,13,7,6,10,21,21,0,Match Report
52,Wolves,2025-08-16,3,0,42,39,5,11,,Manchester City,eng Premier League,L 0-4,0,4,-4,42,0,0,0,0,0,9,0.00,0.00,3,33.3,17.7,0,354,445,79.6,7,23,9,3,23,6710,2280,146,174,83.9,165,188,87.8,39,69,56.5,11,5,45.5,4,36.4,25,17,13,8,4,11,25,44.0,14,11,4,7,6,31,21,1,Match Report
53,Sunderland,2025-08-16,5,3,38,30,1,12,,West Ham,eng Premier League,W 3-0,3,0,+3,38,3,0,0,0,3,10,0.30,0.60,5,50.0,12.0,0,268,360,74.4,7,25,3,1,23,4585,1705,142,163,87.1,90,108,83.3,30,65,46.2,7,1,14.3,6,85.7,14,5,8,5,1,8,15,53.3,7,12,6,6,9,23,34,1,Match Report
54,Burnley,2025-08-16,4,0,34,29,7,8,@,Tottenham,eng Premier League,L 0-3,0,3,-3,34,0,0,0,0,0,14,0.00,0.00,4,28.6,20.1,1,197,282,69.9,12,14,6,2,17,3566,1532,98,113,86.7,67,86,77.9,29,63,46.0,12,7,58.3,3,25.0,6,2,4,2,0,3,14,21.4,11,8,1,7,7,13,28,0,Match Report
55,Newcastle Utd,2025-08-16,3,0,59,34,2,4,@,Aston Villa,eng Premier League,D 0-0,0,0,0,59,0,0,0,0,0,16,0.00,0.00,3,18.8,23.8,0,403,499,80.8,14,30,7,3,51,6777,2293,208,239,87.0,151,171,88.3,34,69,49.3,14,2,14.3,8,57.1,10,8,4,3,3,6,15,40.0,9,4,0,4,12,22,24,0,Match Report
56,Manchester City,2025-08-16,4,4,58,26,14,9,@,Wolves,eng Premier League,W 4-0,4,0,+4,58,4,0,0,0,4,15,0.27,1.00,4,26.7,17.2,1,535,603,88.7,9,39,10,1,51,8244,2571,308,323,95.4,197,216,91.2,26,48,54.2,28,14,50.0,11,39.3,18,11,6,9,3,4,9,44.4,5,9,3,6,7,25,24,2,Match Report
57,Brighton,2025-08-16,3,1,49,42,4,11,,Fulham,eng Premier League,D 1-1,1,1,0,49,0,1,1,0,1,9,0.00,0.00,3,33.3,19.0,0,388,454,85.5,7,30,8,1,38,7078,2554,174,190,91.6,166,188,88.3,42,62,67.7,12,4,33.3,7,58.3,19,9,8,9,2,8,13,61.5,5,11,1,10,9,28,27,0,Match Report
58,Fulham,2025-08-16,2,1,51,45,5,4,@,Brighton,eng Premier League,D 1-1,1,1,0,51,1,0,0,0,1,7,0.14,0.50,2,28.6,12.5,0,376,466,80.7,5,24,9,2,32,6786,2615,159,177,89.8,161,183,88.0,45,77,58.4,18,5,27.8,8,44.4,15,8,9,3,3,7,11,63.6,4,4,1,3,2,17,15,1,Match Report
59,Bournemouth,2025-08-15,3,2,39,35,8,11,@,Liverpool,eng Premier League,L 2-4,2,4,-2,39,2,0,0,0,2,10,0.20,0.67,3,30.0,14.3,1,229,343,66.8,8,9,11,4,19,4460,1770,86,107,80.4,100,125,80.0,35,86,40.7,22,8,36.4,11,50.0,20,12,8,9,3,9,17,52.9,8,11,2,9,11,31,44,0,Match Report
60,Liverpool,2025-08-15,10,4,61,48,8,14,,Bournemouth,eng Premier League,W 4-2,4,2,+2,61,4,0,0,0,4,19,0.21,0.40,10,52.6,16.6,0,430,539,79.8,15,36,9,2,40,7367,3039,217,238,91.2,151,188,80.3,48,75,64.0,21,8,38.1,9,42.9,16,13,5,5,6,11,19,57.9,8,14,3,11,4,20,40,1,Match Report
